price,rating,specScore,brand,processor,storage,cores,ram,screen_size,Warranty,OS,graphics,storage_type,ram_type,width,height,aspect_ratio,resolution_area
73990,4.45,71,Asus,Intel Core i5,512,12,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
46790,4.65,54,Dell,Intel Core i5,1024,No ,8,14,12,Linux ,amd radeon,hard disk,DDR4,1366,768,1.778645833,1049088
29990,4.1,51,Acer,Intel Core i3,512,No ,8,14,12,Windows 11 ,intel integrated uhd,SSD,DDR4,1920,1080,1.777777778,2073600
109990,4.05,71,Asus,Intel Core i7,512,10,16,15.6,12,Windows 11 ,rtx 4060,SSD,DDR5,1920,1080,1.777777778,2073600
76490,4.05,66,Lenovo,Intel Core i5,512,10,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
59490,4.45,62,Lenovo,Intel Core i5,512,No ,12,15.6,12,Windows 11 ,rtx 2050,SSD,DDR5,1920,1080,1.777777778,2073600
24990,4.7,51,Other,Intel Core i5,512,No ,16,14,12,Windows 11 ,intel uhd graphics,SSD,DDR4,2160,1440,1.5,3110400
37990,4.05,66,Other,Intel Core i7,512,10,16,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920,1080,1.777777778,2073600
104990,4.25,46,Apple,Apple M Series,256,No ,8,13.6,12,Mac ,Apple 8 Core GPU,SSD,Unknown,2560,1664,1.538461538,4259840
79990,4.3,69,Asus,Intel Core i5,512,No ,16,16,12,Windows 11 ,rtx 4050,SSD,DDR4,1920,1200,1.6,2304000
36990,4.65,55,HP,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920,1080,1.777777778,2073600
34750,4.75,56,Dell,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920,1080,1.777777778,2073600
58790,4.25,59,HP,Intel Core i5,512,12,8,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
134900,4.05,50,Apple,Apple M Series,16,No ,16,13.6,12,Mac ,10 Core GPU,SSD,Unknown,2560,1664,1.538461538,4259840
64990,4.7,64,Acer,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
109670,4.25,47,Asus,AMD Ryzen 9,1024,No ,32,14,12,Windows 11 ,rtx 4060,SSD,Unknown,2560,1600,1.6,4096000
55990,4,57,HP,Intel Core i5,512,10,16,15.6,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1080,1.777777778,2073600
91821,4.05,71,Dell,Intel Core i7,1024,12,16,16,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR5,2560,1600,1.6,4096000
61990,4.35,62,Asus,Intel Core i7,512,14,16,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
83990,4.6,62,HP,Intel Core Ultra,512,14,16,14,12,Windows 11 ,intel graphics,SSD,LPDDR5X,2560,1600,1.6,4096000
110490,4.4,72,Lenovo,Intel Core i7,512,14,24,15.6,12,Windows 11 ,rtx 4060,SSD,DDR5,1920,1080,1.777777778,2073600
199990,4.6,68,Asus,AMD Ryzen 9,1024,No ,32,16,12,Windows 11 ,NVIDIA GeForce RTX 4070,SSD,LPDDR5X,3840,2400,1.6,9216000
177990,4.4,61,Asus,AMD Ryzen 9,1024,No ,16,14,12,Windows 11 ,rtx 4060,SSD,LPDDR5X,1920,1080,1.777777778,2073600
139990,4.25,53,Lenovo,Others,1024,12,16,14.5,12,Windows 11 ,Qualcomm Adreno GPU,SSD,LPDDR5X,2944,1840,1.6,5416960
80990,4.55,61,HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 4050,SSD,DDR4,1920,1080,1.777777778,2073600
70490,4.35,65,Lenovo,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
62990,4.05,57,Samsung,Intel Core i5,512,10,16,15.6,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR4X,1920,1080,1.777777778,2073600
62990,4,55,Samsung,Intel Core i5,512,10,8,15.6,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR4X,1920,1080,1.777777778,2073600
10990,4.75,28,HP,Others,32,No ,4,11.6,12,Chrome ,Arm Mali-G72 MP3,hard disk,LPDDR4X,1366,768,1.778645833,1049088
64990,4.1,70,Asus,Intel Core i5,512,12,16,16,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1200,1.6,2304000
69990,4.65,56,HP,Intel Core Ultra,512,14,16,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920,1080,1.777777778,2073600
33850,4.4,53,Asus,AMD Ryzen 3,1024,No ,8,14,12,Windows 11 ,amd radeon graphics,SSD,LPDDR5,1920,1080,1.777777778,2073600
84990,4.25,73,MSI,AMD Ryzen 7,1024,No ,16,15.6,24,Windows 11 ,rtx 4050,SSD,DDR4,1920,1080,1.777777778,2073600
379990,4.65,65,Apple,Apple M Series,1024,16,48,16.2,12,Mac ,40 Core GPU,SSD,Unknown,3456,2234,1.547000895,7720704
66990,4.1,68,Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
73990,4.15,65,HP,Intel Core i5,1024,10,16,14,12,Windows 11 ,intel integrated iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
35619,4.75,56,Dell,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920,1080,1.777777778,2073600
59890,4.35,66,Asus,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
64990,4.35,63,Asus,Intel Core i5,512,12,16,14,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,2880,1800,1.6,5184000
184999,4.2,66,Dell,Intel Core i7,512,No ,16,15.6,0,Windows 10 ,NVIDIA,SSD,DDR4,1920,1200,1.6,2304000
549990,4.4,93,MSI,Intel Core i9,4096,24,128,18,0,Windows 11 ,rtx 4090,SSD,DDR5,3840,2400,1.6,9216000
19990,4.25,39,Acer,Others,256,No ,8,14,12,Windows 11 ,intel integrated uhd,SSD,LPDDR4X,1366,768,1.778645833,1049088
84990,4.7,65,Infinix,Intel Core Ultra,1024,16,32,15.6,12,Windows 11 ,intel integrated,SSD,LPDDR5X,1920,1080,1.777777778,2073600
91799,4.05,71,Dell,Intel Core i7,1024,12,16,16,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR5,2560,1600,1.6,4096000
71990,4,61,Acer,Intel Core i7,1024,14,16,14,12,Windows 11 ,intel integrated iris xe,SSD,LPDDR5,2880,1800,1.6,5184000
64990,4.25,60,Acer,Intel Core i7,512,14,16,14,12,Windows 11 ,intel integrated iris xe,SSD,LPDDR5,2880,1800,1.6,5184000
73990,4,65,Lenovo,AMD Ryzen 5,512,No ,24,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
64990,4.2,64,Lenovo,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
85490,4.25,69,Lenovo,Intel Core i5,512,10,24,15.6,12,Windows 11 ,rtx 4050,SSD,DDR5,1920,1080,1.777777778,2073600
67290,4.25,56,Lenovo,Intel Core i7,512,10,16,15.6,12,Windows 11 ,intel uhd graphics,SSD,LPDDR5,1920,1080,1.777777778,2073600
150990,4.5,51,Microsoft,Others,512,No ,16,13.8,12,Windows 11 ,Qualcomm Adreno GPU,SSD,LPDDR5X,2304,1536,1.5,3538944
78999,4,60,HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 4050,SSD,DDR4,1920,1080,1.777777778,2073600
62849,4.35,70,MSI,Intel Core i7,512,10,16,15.6,24,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
56990,4.05,63,Acer,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
72990,4.6,59,Samsung,Intel Core i7,512,10,16,15.6,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR4X,1920,1080,1.777777778,2073600
36990,4.4,48,Infinix,Intel Core i3,256,No ,16,16,12,Windows 11 ,intel integrated uhd,SSD,LPDDR4X,1920,1200,1.6,2304000
99990,4.35,75,MSI,AMD Ryzen 7,1024,No ,16,15.6,24,Windows 11 ,rtx 4060,SSD,DDR4,1920,1080,1.777777778,2073600
99990,4,71,HP,Intel Core i7,512,16,16,16.1,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,2560,1440,1.777777778,3686400
55990,4.2,52,HP,Intel Core i5,512,10,16,15.6,12,Windows 11 ,intel integrated,SSD,DDR4,1920,1080,1.777777778,2073600
49717,4.1,54,Other,Intel Core i5,512,No ,16,16,12,Windows 11 ,intel uhd graphics,SSD,LPDDR4X,1920,1200,1.6,2304000
42990,4.4,59,Acer,Intel Core i5,512,10,16,15.6,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1080,1.777777778,2073600
37990,4.65,53,HP,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920,1080,1.777777778,2073600
78990,4,72,HP,AMD Ryzen 7,512,No ,16,16.1,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
113990,4.7,78,HP,AMD Ryzen 7,1024,No ,16,16,12,Windows 11 ,rtx 4060,SSD,DDR5,1920,1080,1.777777778,2073600
61500,4.75,71,HP,Intel Core i5,512,No ,16,16.1,12,Windows 11 ,NVIDIA,SSD,DDR4,1920,1080,1.777777778,2073600
65990,4.05,63,Asus,Intel Core i7,512,10,16,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
45990,4,56,Asus,Intel Core i5,512,12,8,15.6,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1080,1.777777778,2073600
67990,4.05,62,HP,Intel Core i5,512,12,16,15.6,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1080,1.777777778,2073600
27980,4.45,52,Lenovo,AMD Ryzen 3,512,No ,8,15.6,12,Windows 11 ,amd radeon graphics,SSD,Unknown,1920,1080,1.777777778,2073600
110990,4.75,54,Apple,Apple M Series,512,No ,8,15.3,12,Mac ,10-Core GPU,SSD,DDR4,2880,1864,1.545064378,5368320
66490,4.2,61,HP,Intel Core i7,512,10,16,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
75990,4.35,63,Asus,Intel Core i5,512,12,16,16,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1200,1.6,2304000
53854,4.6,66,Asus,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
60990,4.35,64,HP,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
38990,4.15,59,Lenovo,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,amd radeon,SSD,DDR4,1920,1080,1.777777778,2073600
46990,4.2,54,Dell,Intel Core i5,512,10,8,15.6,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1080,1.777777778,2073600
47490,4.6,57,HP,Intel Core i5,512,10,8,15.6,12,Windows 11 ,intel iris xe,SSD,DDR4,1920,1080,1.777777778,2073600
29990,4.55,50,HP,AMD Ryzen 3,512,No ,8,15.6,12,Windows ,amd radeon amd,SSD,DDR4,1920,1080,1.777777778,2073600
86990,4.75,65,Asus,Intel Core i9,512,14,16,15.6,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR5,2880,1620,1.777777778,4665600
89990,4.1,66,Lenovo,Intel Core i7,1024,10,16,14,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1920,1200,1.6,2304000
59990,4.45,62,Acer,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
66990,4.35,63,Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR5,1920,1080,1.777777778,2073600
67990,4.4,66,Asus,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
72990,4.5,68,Lenovo,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
48490,4,65,Lenovo,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,amd radeon amd,SSD,DDR4,1920,1080,1.777777778,2073600
109990,4,61,Lenovo,Intel Core Ultra,1024,16,16,14,12,Windows 11 ,intel arc graphics,SSD,LPDDR5X,2880,1800,1.6,5184000
81490,4.7,57,Lenovo,Intel Core Ultra,1024,14,16,14,12,Windows 11 ,intel arc graphics,SSD,LPDDR5X,1920,1200,1.6,2304000
39990,4.45,57,Acer,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,amd graphics,SSD,DDR4,1920,1080,1.777777778,2073600
78990,4.55,70,Other,Intel Core i7,512,10,16,15.6,12,Windows 11 ,rtx 4060,SSD,DDR5,2560,1440,1.777777778,3686400
79990,4.25,73,MSI,AMD Ryzen 7,1024,No ,16,15.6,24,Windows 11 ,rtx 4050,SSD,DDR4,1920,1080,1.777777778,2073600
93990,4.35,75,MSI,AMD Ryzen 7,1024,No ,16,15.6,24,Windows 11 ,rtx 4060,SSD,DDR4,1920,1080,1.777777778,2073600
68990,4,57,HP,Intel Core i5,512,10,16,14,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR5X,1920,1200,1.6,2304000
50990,4.65,63,Asus,Intel Core i5,512,No ,16,17.3,12,Windows 11 ,rtx 2050,SSD,DDR6,1920,1080,1.777777778,2073600
70719,4.4,66,Dell,Intel Core i5,512,10,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
54390,4.7,57,Lenovo,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,intel integrated uhd,SSD,LPDDR5,1920,1080,1.777777778,2073600
33990,4.45,54,Infinix,Intel Core i3,512,No ,16,16,12,Windows 11 ,intel integrated iris xe,SSD,LPDDR4X,1920,1200,1.6,2304000
33990,4.6,46,Lenovo,AMD Ryzen 5,512,No ,8,15.6,12,Windows 11 ,amd radeon graphics,SSD,DDR4,1920,1080,1.777777778,2073600
47990,4.5,53,Dell,Intel Core i3,256,No ,8,14,12,Windows 11 ,intel uhd graphics,SSD,LPDDR5,1920,1200,1.6,2304000
99990,4.4,75,Lenovo,AMD Ryzen 7,512,No ,16,16,12,Windows 11 ,rtx 4050,SSD,DDR5,1920,1200,1.6,2304000
82990,4,68,Lenovo,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,rtx 4060,SSD,DDR5,1920,1080,1.777777778,2073600
26990,4.45,52,Lenovo,AMD Ryzen 3,512,No ,8,15.6,12,Windows 11 ,amd radeon graphics,SSD,Unknown,1920,1080,1.777777778,2073600
68719,4.6,66,Dell,Intel Core i5,512,12,16,16,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR5,2560,1600,1.6,4096000
66990,4.25,66,HP,Intel Core i5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR4,1920,1080,1.777777778,2073600
36990,4.05,55,HP,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920,1080,1.777777778,2073600
154990,4.25,74,Acer,Intel Core i7,1024,16,16,16,12,Windows 11 ,rtx 4060,SSD,DDR5,2560,1600,1.6,4096000
54990,4.6,64,MSI,Intel Core i5,512,No ,16,15.6,24,Windows 11 ,rtx 2050,SSD,DDR5,1920,1080,1.777777778,2073600
439990,4.7,98,MSI,Intel Core i9,2048,14,64,17.3,24,Windows 11 ,NVIDIA,SSD,DDR5,3840,2160,1.777777778,8294400
37890,4.75,59,HP,Intel Core i5,512,No ,8,14,12,Windows 11 ,intel iris xe graphics,SSD,DDR4,1366,768,1.778645833,1049088
44990,4.3,60,Acer,Others,512,No ,16,14,12,Windows 11 ,amd radeon graphics,SSD,Unknown,1920,1080,1.777777778,2073600
49990,4,62,Acer,AMD Ryzen 7,512,No ,16,14,12,Windows 11 ,amd radeon graphics,SSD,Unknown,1920,1080,1.777777778,2073600
27990,4.75,46,Acer,Intel Core i3,512,No ,8,14,12,Windows 11 ,intel integrated uhd,SSD,DDR4,1920,1080,1.777777778,2073600
37490,4.6,59,Dell,Intel Core i3,512,No ,8,15.6,12,Windows 11 ,intel graphics,SSD,DDR4,1920,1080,1.777777778,2073600
68990,4.75,57,Lenovo,Intel Core i5,512,10,16,14,12,Windows 11 ,intel uhd graphics,SSD,DDR4,1920,1200,1.6,2304000
81690,4,59,Lenovo,Intel Core i7,1024,14,16,16,12,Windows 11 ,intel iris xe graphics,SSD,LPDDR5,1920,1200,1.6,2304000
75990,4,66,Lenovo,Intel Core i5,512,10,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
71990,4.15,70,Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
62990,4.15,66,Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,rtx 2050,SSD,DDR5,1920,1080,1.777777778,2073600
81999,4.75,64,HP,Intel Core Ultra,512,16,16,14,12,Windows 11 ,intel integrated,SSD,DDR5,1920,1080,1.777777778,2073600
64990,4.1,52,Samsung,Intel Core i5,512,10,8,15.6,12,Windows 11 ,intel uhd graphics,SSD,LPDDR4X,1920,1080,1.777777778,2073600
65990,4.6,64,Dell,AMD Ryzen 5,512,No ,16,14,12,Windows 11 ,amd radeon graphics,SSD,DDR5,1920,1200,1.6,2304000
72599,4.1,61,Dell,AMD Ryzen 7,1024,No ,16,14,12,Windows 11 ,amd radeon graphics,SSD,DDR5,1920,1200,1.6,2304000
42990,4.1,57,Lenovo,Intel Core i3,512,No ,16,14,12,Windows 11 ,intel integrated uhd,SSD,DDR4,1920,1080,1.777777778,2073600
114990,4.65,75,MSI,AMD Ryzen 9,1024,No ,16,17.3,24,Windows 11 ,rtx 4050,SSD,DDR5,1920,1080,1.777777778,2073600
63990,4.25,69,Other,Intel Core i5,512,12,16,15.6,24,Windows 11 ,rtx 4050,SSD,DDR5,1920,1080,1.777777778,2073600
69520,4.45,70,Asus,AMD Ryzen 7,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
59990,4.75,63,Asus,AMD Ryzen 5,512,No ,16,15.6,12,Windows 11 ,NVIDIA GeForce RTX 3050,SSD,DDR5,1920,1080,1.777777778,2073600
208490,4.7,89,Lenovo,Intel Core i9,1024,24,32,16,12,Windows 11 ,NVIDIA GeForce RTX 4070,SSD,DDR5,3200,2000,1.6,6400000
125990,4.65,81,HP,AMD Ryzen 7,1024,No ,32,16.1,12,Windows 11 ,rtx 4060,SSD,DDR5,1080,1920,0.5625,2073600
59990,4.55,60,Infinix,Intel Core Ultra,512,14,16,15.6,12,Windows 11 ,intel integrated,SSD,LPDDR5X,1920,1080,1.777777778,2073600
144990,4.4,72,Asus,Intel Core Ultra,1024,16,32,14,12,Windows 11 ,intel arc graphics,SSD,LPDDR5X,2880,1800,1.6,5184000
52021,4,60,HP,Intel Core i5,512,10,16,15.6,12,Windows 11 ,intel integrated uhd,SSD,DDR4,1920,1080,1.777777778,2073600
41990,4.55,51,Acer,Intel Core i5,512,10,16,14,12,Windows 11 ,intel integrated uhd,SSD,Unknown,1920,1080,1.777777778,2073600
111850,4.65,77,Lenovo,AMD Ryzen 7,1024,No ,16,15.6,12,Windows 11 ,rtx 4060,SSD,DDR5,1920,1080,1.777777778,2073600
56990,4.05,64,HP,Intel Core i5,512,No ,8,15.6,12,Windows 11 ,rtx 2050,SSD,DDR4,1920,1080,1.777777778,2073600
